"label";"weight";"tagType";"tagDisplay";"country";"language";"count"
"RSE";"10";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"7"
"agriculture";"20";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"1"
"aides";"30";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"14"
"consommation responsable";"40";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"10"
"habitat";"50";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"14"
"innovation";"60";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"6"
"recyclage";"70";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"11"
"sensibilisation";"80";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"8"
"transports";"90";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"27"
"énergies";"100";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"16"
