"label";"weight";"tagType";"tagDisplay";"country";"language";"count"
"RSE";"10";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"5"
"SDF";"20";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
"UE";"30";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"5"
"aides";"40";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"24"
"compétitivité";"50";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"6"
"consommation";"60";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"8"
"emploi";"70";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"57"
"entrepreneuriat";"80";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"4"
"immobilier";"90";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"11"
"impôts";"100";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"22"
"logement";"110";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"27"
"numérique";"120";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"7"
"parité";"130";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
"petites entreprises";"140";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"6"
"retraites";"150";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"5"
"urbanisme";"160";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"9"
"vie au travail";"170";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"21"
"économie solidaire";"180";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
