"label";"weight";"tagType";"tagDisplay";"country";"language";"count"
"Afrique";"10";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"1"
"Asie";"20";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
"Moyen-Orient";"30";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"6"
"ONU & institutions";"40";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"23"
"Union Européenne";"50";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"30"
"commerce";"60";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"8"
"diplomatie";"70";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"4"
"développement";"80";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"3"
"guerres";"90";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"5"
"humanitaire";"100";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
"immigration";"110";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"2"
"terrorisme";"120";"1edeb3ff-a6fb-4002-99f8-622b8d8655b2";"INHERIT";"FR";"fr";"1"
