"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"perte d'autonomie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"20";"emploi";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"30";"retraite";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"40";"santé";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"50";"extrême précarité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"60";"fin de vie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"70";"coût pour les familles";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"80";"habitat & urbanisme";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"90";"établissements d'accueil";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"100";"maltraitance";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"110";"solitude";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"120";"vie quotidienne";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"130";"services à la personne";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"140";"isolement géographique";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"150";"aidants";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"160";"accès à l'information";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"170";"simplification administrative";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"180";"coordination des dispositifs";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"190";"financement de la protection sociale";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"200";"silver économie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"210";"professionnels";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"220";"intergénérationnel";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"230";"système éducatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"240";"sensibilisation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"250";"couverture sociale";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"260";"fiscalité & cotisations";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"270";"budget";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"280";"régulation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"290";"aides & subventions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"300";"transformation de l'administration";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"310";"participation citoyenne";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"320";"effort individuel";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"330";"RSE & politique d'entreprise";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"340";"engagement associatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"350";"numérique";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"360";"sanctions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"370";"individus";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
