"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"mobilité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"20";"recrutement";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"30";"gestion quotidienne";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"40";"conditions de travail";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"50";"relations au travail";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"60";"numérique";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"70";"process";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"80";"nouveaux services & services à arrêter";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"90";"changement dans la politique publique";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"100";"rémunération";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"110";"organisation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"120";"macro-gestion";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"130";"contrôle";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"140";"gestion des carrières";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"150";"organigramme & structure";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"160";"procédures infra-réglementaires";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"170";"outils numériques";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"180";"moyens";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"190";"méthodes de travail";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"200";"méthodes de relations avec l'usager";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"210";"formation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"220";"dérogation individuelle à une norme ou procédure pour faire avancer un projet particulier";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"230";"budgétaire (hors moyens)";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"240";"création d'un texte réglementaire";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"250";"dérogation ou suppression d'un texte réglementaire";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"260";"expérimentation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"270";"autonomie de gestion";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"280";"contrôle";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"290";"contrat de travail";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"310";"non précisé";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"320";"usagers particuliers";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"330";"usagers entreprises";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"340";"collectivités locales";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"350";"administration centrale";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"360";"administration déconcentrée régionale";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"370";"administration déconcentrée infrarégionale";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"380";"toute administration";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"390";"encadrement intermédiaire et de proximité";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"400";"encadrement de haut niveau";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"410";"fonction financières et comptable";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"420";"fonction RH";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"430";"agents opérationnels";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"440";"agents administratifs";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"450";"tout agent";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"460";"services du Premier ministre";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"470";"ministère de l'intérieur";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"480";"ministère de la transition écologique et solidaire";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"490";"ministère de la justice";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"500";"ministère de l'Europe et des affaires étrangères";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"510";"ministère des armées";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"520";"ministère de la cohésion des territoires";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"530";"ministère des solidarités et de la santé";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"540";"ministère de l'économie et des finances";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"550";"ministère de la culture";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"560";"ministère du travail";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"570";"ministère de l'éducation nationale";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"580";"ministère de l'agriculture et de l'alimentation";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"590";"ministère de l'action et des comptes publics";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"600";"ministère de l'enseignement supérieur, de la recherche et de l'innovation";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"610";"ministère des outre-mer";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"620";"ministère des sports";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"630";"ministère chargé des transports";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"640";"non précisé";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"650";"éducation & enseignement";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"660";"recherche";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"670";"sécurité publique";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"680";"santé";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"690";"travail";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"700";"international";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"710";"solidarité & action sociale";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"720";"transports";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"730";"logement construction & urbanisme";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"740";"environnement & énergie";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"750";"justice";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"760";"culture";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"770";"finances publiques";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"780";"agriculture";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"790";"économie";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"800";"armées";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"810";"non précisé";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"820";"sujet individuel";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"830";"sujet collectif";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"840";"fonctions transversales";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"850";"RH";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"860";"quotidien";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"870";"innovation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"870";"budgétaire/comptable";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
