"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"emploi";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"20";"entreprenariat";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"30";"éducation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"40";"formation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"50";"orientation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"60";"égalité des changes";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"70";"discriminations";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"80";"handicap";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"90";"quartiers sensibles";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"100";"mixité sociale";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"110";"ruralité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"120";"précarité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"130";"logement";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"140";"santé";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"150";"mobilité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"160";"transport";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"170";"justice & sécurité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"180";"religion";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"190";"citoyenneté";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"200";"inclusion";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"210";"écologie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"220";"international";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"230";"accès à l'information";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"240";"simplification administrative";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"250";"coordination des dispositifs";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"260";"système éducatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"270";"sensibilisation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"280";"intergénérationnel";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"290";"sécurité sociale";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"300";"services publics";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"310";"politique sociale";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
