"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"agriculture urbaine";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"20";"commerces";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"30";"démarches administratives";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"40";"démocratie & open data";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"50";"densité";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"60";"écologie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"70";"emploi";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"80";"énergie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"90";"entrepreneuriat";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"100";"finanement";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"110";"formation";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"120";"handicap";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"130";"mixité sociale";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"140";"propreté";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"150";"qualité de vie";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"160";"secteur bâtiment";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"170";"services publics";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"180";"smart cities";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"190";"transports";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"200";"urbanisme";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"210";"vivre-ensemble";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"FR";"fr"
"220";"aides & subventions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"230";"budget";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"240";"effort individuel";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"250";"engagement associatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"260";"fiscalité & cotisations";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"270";"numérique";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"280";"participation citoyenne";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"290";"politique de la ville";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"300";"régulation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"310";"RSE & politique d'entreprise";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"320";"sanctions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"330";"sensibilisation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"340";"services publics";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"350";"système éducatif";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"360";"transformation de l'administration";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"FR";"fr"
"370";"individus";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"380";"jeunes";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"390";"startups";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"400";"entreprises";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"410";"promoteurs immobiliers";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"420";"salariés";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"430";"médias";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"440";"élus";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"450";"États";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"460";"collectivités territoriales";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"470";"UE";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"480";"associations";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"FR";"fr"
"490";"action publique","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"500";"startups","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"510";"entreprises","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"520";"promoteurs immobiliers","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"530";"individus","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"540";"médias","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"550";"UE","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"560";"associations","982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"FR";"fr"
"570";"mieux construire";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"580";"mieux vivre";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
"590";"mieux se déplacer";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"FR";"fr"
