"weight";"label";"tagType";"tagDisplay";"country";"language"
"10";"urban agriculture";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"20";"retail";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"30";"administrative processes";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"40";"democracy & open data";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"50";"density";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"60";"ecology";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"70";"employment";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"80";"energy";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"90";"entrepreneurship";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"100";"financing";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"110";"training";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"120";"handicap";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"130";"social diversity";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"140";"cleanliness";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"150";"quality of life";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"160";"building sector";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"170";"public services";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"180";"smart cities";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"190";"transport";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"200";"urban planning";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"210";"community life";"c0d8d858-8b04-4dd9-add6-fa65443b622b";"INHERIT";"GB";"en"
"220";"aid & grants";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"230";"budget";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"240";"individual effort";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"250";"social engagement";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"260";"taxation & social security payments";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"270";"digital";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"280";"citizen participation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"290";"urban policy";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"300";"regulation";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"310";"CSR & corporate policy";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"320";"sanctions";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"330";"awareness-raising";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"340";"public services";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"350";"educational system";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"360";"transformation of the administration";"cc6a16a5-cfa7-495b-a235-08affb3551af";"INHERIT";"GB";"en"
"370";"individuals";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"380";"youth";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"390";"start-ups";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"400";"companies";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"410";"real-estate promoters";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"420";"employees";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"430";"media";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"440";"elected officials";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"450";"States";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"460";"local authorities";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"470";"EU";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"480";"organisations";"226070ac-51b0-4e92-883a-f0a24d5b8525";"INHERIT";"GB";"en"
"490";"public action";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"GB";"en"
"500";"companies";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"GB";"en"
"510";"media";"982e6860-eb66-407e-bafb-461c2d927478";"INHERIT";"GB";"en"
"520";"building better";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"GB";"en"
"530";"living better";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"GB";"en"
"540";"getting around better";"5e539923-c265-45d2-9d0b-77f29c8b0a06";"INHERIT";"GB";"en"
